t,valence,arousal,dva/t,dva/t,avg va,avg ar,davgval,davgar,abs(D),abs(E),mean(J),mean(K)
0,0.19346815,-0.2504127,,,0,0,0,0,0,0,0.147174275,0.122106408
1,0.161908,-0.29942816,-0.03156015,-0.04901546,0,0,0,0,0.03156015,0.04901546,0.147647504,0.122499033
2,0.1459609,-0.22632611,-0.0159471,0.07310205,0,0,0,0,0.0159471,0.07310205,,
3,-0.20882845,0.10784102,-0.35478935,0.33416713,0,0,0,0,0.35478935,0.33416713,,
4,-0.14621815,0.03139653,0.0626103,-0.07644449,0.02925809,-0.127385884,0,0,0.0626103,0.07644449,,
5,-0.185785,0.09321544,-0.03956685,0.06181891,-0.04659254,-0.058660256,-0.07585063,0.068725628,0.03956685,0.06181891,,
6,-0.14383334,0.120271124,0.04195166,0.027055684,-0.107740808,0.025279601,-0.061148268,0.083939857,0.04195166,0.027055684,,
7,-0.15842575,0.07446813,-0.01459241,-0.045802994,-0.168618138,0.085438449,-0.06087733,0.060158848,0.01459241,0.045802994,,
8,-0.13796353,-0.02628085,0.02046222,-0.10074898,-0.154445154,0.058614075,0.014172984,-0.026824374,0.02046222,0.10074898,,
9,-0.11797217,-0.057886235,0.01999136,-0.031605385,-0.148795958,0.040757522,0.005649196,-0.017856553,0.01999136,0.031605385,,
10,0.19167435,-0.18439585,0.30964652,-0.126509615,-0.073304088,-0.014764736,0.07549187,-0.055522258,0.30964652,0.126509615,,
11,0.23469244,-0.5897317,0.04301809,-0.40533585,0.002401068,-0.156765301,0.075705156,-0.142000565,0.04301809,0.40533585,,
12,0.07886418,-0.57354856,-0.15582826,0.01618314,0.049859054,-0.286368639,0.047457986,-0.129603338,0.15582826,0.01618314,,
13,0.07728586,-0.5689982,-0.00157832,0.00455036,0.092908932,-0.394912109,0.043049878,-0.10854347,0.00157832,0.00455036,,
14,0.10996238,-0.52711755,0.03267652,0.04188065,0.138495842,-0.488758372,0.04558691,-0.093846263,0.03267652,0.04188065,,
15,0.09609653,-0.5160517,-0.01386585,0.01106585,0.119380278,-0.555089542,-0.019115564,-0.06633117,0.01386585,0.01106585,,
16,0.002991597,-0.53883904,-0.093104933,-0.02278734,0.073040109,-0.54491101,-0.046340169,0.010178532,0.093104933,0.02278734,,
17,-0.015784565,-0.5275432,-0.018776162,0.01129584,0.05411036,-0.535709938,-0.018929749,0.009201072,0.018776162,0.01129584,,
18,0.032177124,-0.5684902,0.047961689,-0.040947,0.045088613,-0.535608338,-0.009021747,0.0001016,0.047961689,0.040947,,
19,0.058890883,-0.52678484,0.026713759,0.04170536,0.034874314,-0.535541796,-0.010214299,6.6542E-05,0.026713759,0.04170536,,
20,0.07202898,-0.6116622,0.013138097,-0.08487736,0.030060804,-0.554663896,-0.00481351,-0.0191221,0.013138097,0.08487736,,
21,0.07901977,-0.70613885,0.00699079,-0.09447665,0.045266438,-0.588123858,0.015205634,-0.033459962,0.00699079,0.09447665,,
22,-0.00112721,-0.7280203,-0.08014698,-0.02188145,0.048197909,-0.628219278,0.002931471,-0.04009542,0.08014698,0.02188145,,
23,0.022530045,-0.6129972,0.023657255,0.1150231,0.046268494,-0.637120678,-0.001929415,-0.0089014,0.023657255,0.1150231,,
24,0.08860728,-0.45072618,0.066077235,0.16227102,0.052211773,-0.621908946,0.005943279,0.015211732,0.066077235,0.16227102,,
25,-0.005343881,-0.45195305,-0.093951161,-0.00122687,0.036737201,-0.589967116,-0.015474572,0.03194183,0.093951161,0.00122687,,
26,0.003526568,-0.3374183,0.008870449,0.11453475,0.02163856,-0.516223006,-0.015098641,0.07374411,0.008870449,0.11453475,,
27,0.17488901,-0.6311231,0.171362442,-0.2937048,0.056841804,-0.496843566,0.035203244,0.01937944,0.171362442,0.2937048,,
28,0.27648768,-0.6206396,0.10159867,0.0104835,0.107633331,-0.498372046,0.050791527,-0.00152848,0.10159867,0.0104835,,
29,0.3376499,-0.5098492,0.06116222,0.1107904,0.157441855,-0.51019665,0.049808524,-0.011824604,0.06116222,0.1107904,,
