,current_value,total_value,time
0,-1,-1,3.897400379180908
1,-1,-7,4.240748643875122
2,1,-10,8.938233852386475
3,1,-7,9.416469812393188
4,1,-4,11.29236125946045
5,1,-1,12.460466623306274
6,1,3,14.59258770942688
7,1,6,15.034861087799072
8,1,11,17.227702140808105
9,-1,12,18.8283953666687
10,-1,7,19.21012282371521
11,-1,1,20.257734775543213
12,-1,-4,20.574695348739624
13,1,-7,23.135130882263184
14,1,-5,24.791555404663086
15,1,-2,28.91152858734131
16,1,2,29.302875518798828
17,1,6,29.579132318496704
18,1,9,29.799067735671997
