,current_value,total_value,time
0,1,1,14.194836378097534
1,1,5,14.523598194122314
2,1,11,14.76473879814148
3,1,18,14.988804340362549
4,1,23,15.20473599433899
5,1,29,15.417889595031738
6,1,34,15.636650562286377
7,1,40,15.85822868347168
8,1,46,16.0808048248291
9,1,52,16.288861989974976
10,-1,55,25.459784030914307
11,-1,51,25.727348566055298
12,-1,47,25.94720220565796
13,-1,43,26.170262575149536
14,-1,38,26.386876344680786
15,-1,31,26.601772785186768
16,-1,24,26.828948974609375
17,-1,18,27.052243947982788
18,-1,12,27.258038759231567
19,-1,5,27.487693309783936
20,-1,-1,27.711221933364868
21,-1,-7,27.929522037506104
22,-1,-14,28.15543532371521
23,-1,-21,28.37352967262268
24,-1,-27,28.58268141746521
25,-1,-33,28.80300521850586
26,-1,-39,29.015269994735718
27,-1,-45,29.23899793624878
28,-1,-51,29.447755336761475
29,-1,-57,29.67297601699829
30,-1,-64,29.912353038787842
