,valence,arousal
0,0.4866726,-0.79822654
1,0.0023184076,-0.09160666
2,0.2709625,-0.7681509
3,0.27091315,-0.768357
4,0.27023247,-0.76812387
5,0.28067333,-0.77414006
6,0.18145284,-0.65760773
7,0.28532115,-0.65898323
8,0.37871435,-0.8048236
9,0.30267683,-0.7104338
10,0.23029588,-0.63876545
11,0.26295415,-0.66824317
12,0.33617663,-0.70396316
13,0.2964932,-0.771017
14,0.17958024,-0.7471856
15,0.25408703,-0.6920011
16,0.5151927,-0.8506366
17,0.40693644,-0.7970828
18,0.40204152,-0.7078577
19,0.38023394,-0.7250837
20,0.39788204,-0.793768
21,0.37118578,-0.6681628
22,0.30601948,-0.6575256
23,0.28559366,-0.68204564
24,0.25447795,-0.70601165
25,0.24571708,-0.71502984
26,0.3068589,-0.70856905
27,0.30333617,-0.7814209
28,0.4421744,-0.72818726
29,0.38526276,-0.7920186
30,0.31954494,-0.67352176
31,0.38112137,-0.6222743
32,0.3147733,-0.6152712
33,0.3272154,-0.66200626
34,0.40796548,-0.6429223
35,0.40030095,-0.7755402
36,0.34675983,-0.6826769
37,0.32703152,-0.6896242
38,0.2609308,-0.6180675
39,0.29202327,-0.6558647
40,0.5456225,-0.89691824
41,0.40101716,-0.41008458
42,0.32157812,-0.46510503
43,0.37890926,-0.4954765
44,0.25114885,-0.41349867
45,0.31050304,-0.62244827
46,0.46711764,-0.5106637
47,0.6600105,-0.57883286
48,0.31703806,-0.37780896
49,0.5318634,-0.53550434
50,0.31384706,-0.41485116
51,0.6945376,-0.5367582
52,0.49035802,-0.5474526
53,0.4265857,-0.6170763
54,0.3456308,-0.7231272
55,0.48542386,-0.20634083
56,0.23203985,-0.5649483
57,0.41083756,-0.69614625
58,0.42450663,-0.6886012
59,0.39242718,-0.6964191
60,0.22970815,-0.56148714
61,0.30092052,-0.5525397
62,0.5490397,-0.70757806
63,0.8944505,-0.8421164
64,0.14985256,-0.8421537
65,0.2171681,-0.6313351
66,0.10735378,-0.48875752
67,0.0031960115,-0.49539354
68,-0.08440261,-0.45091373
69,-0.21882223,-0.244891
70,0.14270747,-0.53492486
71,0.04023951,-0.03070996
72,0.2921712,-0.4722659
73,0.40316075,-0.60835695
74,0.63528496,-0.73243725
75,0.37308028,-0.7716938
76,0.39484757,-0.72783136
77,0.41951868,-0.6990585
78,0.42047048,-0.6638372
79,0.73111635,-0.71371555
80,0.35095268,-0.63771665
81,0.4607319,-0.7480856
82,0.6023998,-0.8114029
83,0.6071746,-0.7525946
84,0.38234675,-0.6472904
85,0.4991834,-0.7335063
86,0.55550265,-0.8275353
87,0.552205,-0.67077124
88,0.7218046,-0.9092876
89,0.7223413,-0.9395604
90,0.6440925,-0.8967738
91,0.6675954,-0.85349405
92,0.500758,-0.76424295
93,0.6358568,-0.7404752
94,0.7306656,-0.87850654
95,0.7279651,-0.87084234
