,valence,arousal
0,0.1348196,-0.051909946
1,0.047120523,-0.2942347
2,0.12804441,-0.17826532
3,0.3083265,-0.082110725
4,0.24641152,-0.30041832
5,0.48845908,-0.20422249
6,0.42176056,-0.08559259
7,0.5129782,-0.23346953
8,0.47244856,-0.35165924
9,0.4073126,-0.03529539
10,0.44796607,0.099256314
11,0.3197854,0.3752016
12,0.47366542,-0.13681132
13,0.3821894,-0.75843257
14,0.2831069,-0.5808861
15,0.27271807,-0.48546457
16,0.27226552,-0.5245905
17,0.28433934,-0.58001554
18,0.28833994,-0.60656863
19,0.24385485,-0.6747432
20,0.27923468,-0.69900596
21,0.34751818,-0.66684604
22,0.3569962,-0.66166407
23,0.30208787,-0.62978745
24,0.24658072,-0.58052045
25,0.27171624,-0.57827055
26,0.21401896,-0.5475037
27,0.19754928,-0.507598
28,0.19140053,-0.4919757
29,0.20155422,-0.45333633
