,valence,arousal
0,0.29285583,-0.9009218
1,0.42064878,-0.7840624
2,0.36647853,-0.6403165
3,0.5754257,-0.9758434
4,0.62478334,-0.9155977
5,0.6981054,-0.96829176
6,0.41365203,-0.7949383
7,0.64337295,-0.98607403
8,0.4899176,-1.0454271
9,0.47137296,-1.0290918
10,0.49679416,-1.0169665
11,0.51203185,-0.9970273
12,0.48961663,-0.95438457
13,0.5177734,-1.0133208
14,0.52804756,-0.942521
15,0.5962766,-0.76682997
16,0.6898994,-1.1287837
17,0.47974873,-0.71266544
18,0.51215,-0.65712714
19,0.40822282,-0.5444576
20,0.41903034,-0.56696206
21,0.4797807,-0.5842918
22,0.47884983,-0.60089624
23,0.53830224,-0.60969424
24,0.604377,-0.60313183
25,0.65690047,-0.7274784
26,0.68713224,-0.8210505
27,0.56115466,-0.7355236
28,0.48914835,-0.768283
29,0.47875836,-0.7406516
