sorting,q1,q2,q3,q4,
abcd-va,1,3,4,3,
bacd-av,2,4,3,3,
cabd-va,1,4,1,2,
acbd-av,2,1,2,2,
bcad-va,2,2,4,2,
cbad-av,1,3,4,1,
bcda-va,2,3,2,1,
dcba-va,4,2,2,2,
cdba-av,1,2,2,1,
bdca-av,1,3,3,3,
dbca-va,1,3,3,2,
dacb-av,3,1,1,4,
adcb-va,4,1,4,4,
cdab-av,1,1,4,1,
dcab-va,3,4,2,3,
acdb-av,3,1,1,1,
cadb-va,2,4,4,2,
badc-av,1,3,3,2,
abdc-va,3,1,4,4,
dbac-av,4,4,4,2,
bdac-va,1,3,2,3,
adbc-av,4,4,4,3,
dabc-va,4,3,4,3,
cbda-av,1,2,3,4,
abcd-va,4,2,3,1,
bacd-av,3,2,3,1,
cabd-va,1,1,1,3,
acbd-av,2,2,2,3,
bcad-va,4,3,2,2,
cbad-av,1,1,1,2,
bcda-va,2,3,4,4,
dcba-av,2,4,1,3,
cdba-va,4,3,2,3,
bdca-av,3,3,3,4,
